,id,gwh_per_mm3,latitude,longitude,type,rainfall,avg daily temp,min daily temp,max daily temp,sea level pressure,global radiation
171,H602,9.622222222222222,66.36875,26.689583,HDAM,1.4432876942908928,0.9445479113353442,-3.638383466515639,4.928520422030801,1008.9857679393193,92.55890410958904
172,H604,1.6873873873873877,41.83225,24.42183,HDAM,1.7509589410807989,10.860794257097048,5.132246455509368,16.60547906552786,1016.8120700783926,169.22739726027396
173,H610,0.4252577319587629,41.61227,25.64052,HDAM,1.6186301670662344,13.297753115345355,6.983260124727879,19.539643381025694,1016.7482316526648,173.72054794520548
174,H627,14.067127344521225,42.02719,24.47085,HDAM,1.6476712564899496,13.07038327314674,6.845534091983756,19.25435576496059,1016.848783142926,169.27945205479452
175,H634,7.567829457364341,46.3113,16.4945,HDAM,2.3356164783647615,11.646849061686494,6.215040948379734,17.467780449884394,1018.0386466248394,156.25753424657535
176,H635,3.7433155080213902,46.3205,16.7489,HDAM,2.017260320055975,11.93452025903006,6.805945029732299,17.490081827301687,1017.9556336285317,156.6821917808219
177,H638,0.03873239436619718,39.545417,-1.502917,HDAM,0.6827397339964566,15.60465721136903,8.334465583832296,22.867150172142132,1018.8567262414383,205.13972602739727
178,H651,1.5693779904306218,65.509167,15.625556,HDAM,2.35315073973512,-0.7567123160378574,-4.405753337071366,2.951588969514386,1008.4085071302441,87.58082191780822
179,H659,1.6776315789473684,40.96,20.068,HDAM,1.4468493303207501,15.815780457241894,10.864903845566593,20.52498581344134,1016.0027536052547,182.6958904109589
180,H68,1.9833333333333332,66.95428100000001,19.796076,HDAM,1.8200000313863363,-0.5529041053701753,-5.5181368660590016,4.098191700600189,1007.9068638631742,89.54246575342465
181,H680,0.2861230329041488,61.46208299999999,23.437917,HDAM,1.8117808557536503,5.095753292657741,1.5301095568613239,8.533835419915514,1010.09974097683,96.21643835616439
182,H688,0.3463302752293578,42.317001,0.2,HDAM,1.2701370125764038,12.121698352949668,5.925095762883964,19.29909544056409,1020.6542600866867,185.06027397260274
183,H691,0.967741935483871,41.682917,19.89625,HDAM,2.334246614861162,14.008191448511326,8.9050957159994,19.12112286564422,1016.0575471224851,178.5205479452055
184,H697,0.16859504132231404,63.821222,17.1450079999999,HDAM,1.5767123557116887,2.47709582822576,-2.195041024827794,7.1180272628999735,1008.7148088011023,92.13972602739726
185,H71,34.074074074074076,66.691226,20.345341,HDAM,1.9476712633485664,0.6397260204723029,-4.381479362490243,5.12895877628702,1007.9589196610124,91.62465753424658
186,H714,2.336565096952908,41.653,-8.231,HDAM,2.6054795056173248,14.776492790939058,8.58613676702323,21.749533729030663,1019.3424801343108,170.3835616438356
187,H715,0.1891891891891892,66.4990459999999,17.107241000000002,HDAM,1.8747945528324337,-0.47391780212725676,-4.604520477068751,3.5244930668542644,1008.1797383347603,89.52602739726028
188,H72,31.555555555555557,46.7085534816,8.22601948865,HDAM,3.8602740444549144,3.6249862280865646,-0.5090958800677159,7.7880272128198245,1019.6613859829837,150.91232876712328
189,H720,0.058392857142857135,61.210576,28.782635,HDAM,1.9035616801209645,4.750082070921382,1.7175342257912845,7.856356012295574,1010.7726169533926,11.016438356164384
190,H736,0.3708381171067737,65.476969,15.856519,HDAM,2.242739765121512,-0.3991780751065849,-4.384410861787731,3.5133423922506912,1008.445219525899,88.2
191,H743,0.2236486033144723,41.6428,24.153,HDAM,1.8531507185877185,9.71443814975656,4.2957807415305345,15.112438060649454,1016.7638489605629,171.95068493150686
192,H756,1.4438614900314797,40.9871,-7.5353,HDAM,1.1369863271713256,14.900246270633724,8.823972381141088,21.618492634002475,1019.0580984455265,186.4
